conz;value
33;101.7889557
11;61.58888306
3.666666667;16.11270219
1.222222222;
0.407407407;35.99491751
0.135802469;41.98499455
33;102.4303175
11;96.19821709
3.666666667;36.90250494
1.222222222;47.61203663
0.407407407;51.508612
0.135802469;21.6187326
33;93.59646646
11;92.53156387
3.666666667;15.90698237
1.222222222;26.15666976
0.407407407;19.9608729
0.135802469;27.79032713
