conz;value
100;101.4932767
20;100.6440198
4;99.05166313
0.8;96.86482661
0.16;82.17268224
0.032;5.782024062
100;98.24486907
20;98.98796886
4;98.62703468
0.8;93.25548478
0.16;
0.032;5.463552725
100;102.4486907
20;100.3680113
4;99.47629158
0.8;98.66949752
0.16;77.22576079
0.032;-13.8995046
